id	language	nonderived	basic	gb	ry	latitude	longitude	macroarea	genus	family	altitude	precipitation
0	Abidji	3.5	5.0	0	0	5.66667	-4.58333	Africa	Kwa	Niger-Congo	92	1000
1	Agarabi	5.0	5.0	0	1	-6.16667	146.0	Papunesia	Eastern Highlands	Trans-New Guinea	974	3000
2	Agta (Central)	5.0	6.25	0	1	17.96667	121.83333	Papunesia	Greater Central Philippine	Austronesian	214	2000
3	Aguacatec	5.0	7.25	0	1	15.416670000000002	-91.33333	North America	Mayan	Mayan	2609	1000
4	Amarakaeri	5.5	6.25	0	1	-12.5	-70.5	South America	Harakmbet	Harakmbet	257	1000
5	Ampeeli	5.0	5.0	0	1	-6.75	146.08333000000005	Papunesia	Angan	Trans-New Guinea	1918	2000
6	Amuzgo	6.0	8.25	1	1	16.83333	-98.0	North America	Amuzgoan	Oto-Manguean	300	3000
7	Angaatiha	5.0	7.25	1	1	-7.21667	146.25	Papunesia	Angan	Trans-New Guinea	1955	1000
8	Apinay?	5.0	5.0	0	1	-5.5	-48.0	South America	Ge-Kaingang	Macro-Ge	161	2000
9	Arabela	5.0	5.0	0	1	-2.0	-75.16667	South America	Zaparoan	Zaparoan	183	1000
10	Arabic (Lebanese)	6.0	5.0	1	1	34.0	36.0	Eurasia	Semitic	Afro-Asiatic	1320	500
11	Bahinemo	5.0	6.25	0	1	-4.58333	142.83333000000005	Papunesia	Sepik Hill	Sepik	48	3000
12	Bauzi	5.0	5.0	0	1	-2.5	137.5	Papunesia	East Geelvink Bay	East Geelvink Bay	188	3000
13	Berik	5.0	5.0	0	1	-2.25	138.83333000000002	Papunesia	Tor	Tor-Orya	170	3000
14	B?t?	3.0	3.5	0	0	6.25	-6.25	Africa	Kru	Niger-Congo	247	1000
15	Bhili	5.0	7.25	0	1	22.0	73.0	Eurasia	Indic	Indo-European	15	1000
16	Buglere	6.0	6.25	1	1	8.5	-81.25	North America	Guaymiic	Chibchan	1153	2000
17	Cakchiquel	6.0	6.25	1	1	14.5	-91.0	North America	Mayan	Mayan	1293	1000
18	Campa (Axininca)	3.0	3.5	0	0	-12.0	-74.0	South America	Pre-Andine Arawakan	Arawakan	415	2000
19	Cams?	6.0	9.5	1	1	1.16667	-77.0	South America	Cams?	Cams?	2158	2000
20	Candoshi	5.5	5.0	1	1	-4.16667	-77.0	South America	Candoshi	Candoshi	140	1000
21	Cavine?a	5.0	6.25	0	1	-13.333329999999998	-66.5	South America	Tacanan	Tacanan	165	250
22	Cayapa	5.0	5.0	0	1	0.66667	-79.0	South America	Barbacoan	Barbacoan	83	3000
23	Ch?cobo	4.0	3.5	0	0	-12.16667	-66.75	South America	Panoan	Panoan	177	1000
24	Chavacano	6.0	9.5	1	1	7.0	122.08333	Papunesia	Creoles and Pidgins	other	300	3000
25	Chayahuita	5.0	6.25	0	1	-5.5	-77.0	South America	Cahuapanan	Cahuapanan	685	1000
26	Chinantec (Lealao)	5.0	7.25	0	1	17.33333	-95.91667	North America	Chinantecan	Oto-Manguean	518	1000
27	Chiquitano	6.0	9.5	1	1	-17.5	-60.0	South America	Chiquito	Chiquito	370	1000
28	Chumburung	5.5	7.25	1	1	7.75	0.25	Africa	Kwa	Niger-Congo	75	1000
29	Cof?n	5.0	6.25	0	1	0.16667	-77.16667	South America	Cof?n	Cof?n	402	1000
30	Cree (Swampy)	5.0	5.0	1	1	56.0	-90.0	North America	Algonquian	Algic	165	250
31	Culina	4.0	3.5	0	1	-6.0	-70.5	South America	Arauan	Arauan	172	2000
32	Dan	3.0	3.5	0	0	7.5	-8.0	Africa	Eastern Mande	Mande	734	2000
33	Didinga	5.0	7.25	0	1	4.5	33.5	Africa	Surmic	Eastern Sudanic	936	500
34	Dyimini	6.0	6.25	1	1	8.41667	-4.41667	Africa	Gur	Niger-Congo	273	1000
35	Ejagham	3.0	3.5	0	0	5.41667	8.66667	Africa	Bantoid	Niger-Congo	227	3000
36	English	6.0	3.5	1	1	52.0	0.0	Eurasia	Germanic	Indo-European	136	500
37	Ese Ejja	5.0	7.25	0	1	-11.0	-66.0	South America	Tacanan	Tacanan	132	1000
38	Folopa	4.5	5.0	0	1	-7.0	144.5	Papunesia	Teberan	Teberan-Pawaian	616	2000
39	French	6.0	5.0	1	1	48.0	2.0	Eurasia	Romance	Indo-European	124	1000
40	Gar?funa	6.0	9.5	1	1	15.666670000000002	-88.0	North America	Caribbean Arawakan	Arawakan	325	2000
41	German	6.0	9.5	1	1	52.0	10.0	Eurasia	Germanic	Indo-European	192	1000
42	Guahibo	5.0	6.25	0	1	5.0	-69.0	South America	Guahiban	Guahiban	148	1000
43	Guambiano	5.5	6.25	0	1	2.5	-76.66667	South America	Barbacoan	Barbacoan	1712	1000
44	Guarij?o	5.0	6.25	0	1	27.75	-108.66667	North America	Tarahumaran	Uto-Aztecan	1283	1000
45	Gunu	3.5	3.5	0	0	4.58333	11.25	Africa	Bantoid	Niger-Congo	451	2000
46	Halbi	5.0	5.0	0	1	21.0	81.0	Eurasia	Indic	Indo-European	305	1000
47	Huastec	5.0	6.25	0	1	22.08333	-99.33333	North America	Mayan	Mayan	577	250
48	Huave (San Mateo del Mar)	6.0	9.5	1	1	16.21667	-95.0	North America	Huavean	Huavean	9	1000
49	Iduna	5.0	5.0	0	1	-9.33333	150.25	Papunesia	Oceanic	Austronesian	894	2000
50	Ifugao (Batad)	5.0	5.0	1	1	16.83333	121.08333	Papunesia	Northern Luzon	Austronesian	935	2000
51	Iwam	5.0	5.0	0	1	-4.33333	142.0	Papunesia	Upper Sepik	Sepik	33	3000
52	Japanese	6.0	5.0	1	1	37.0	140.0	Eurasia	Japanese	Japanese	389	3000
53	Kalam	6.0	6.25	0	1	-5.25	144.58333000000005	Papunesia	Madang	Trans-New Guinea	2473	2000
54	Kamano-Kafe	6.0	6.25	0	1	-6.25	145.66666999999995	Papunesia	Eastern Highlands	Trans-New Guinea	1503	3000
55	Karaj?	4.0	5.0	0	1	-10.0	-50.33333	South America	Karaj?	Macro-Ge	176	1000
56	Kemtuik	5.0	5.0	0	1	-2.66667	140.33333000000002	Papunesia	Nimboran	Nimboran	150	3000
